image load completed.
This prolog image is designed and programmed by Kiyoshi Oguri.
==REF== comp5.sfl

Module: comp5 definition start.
All facilities of module: comp5 defined.
Instructs arguments and stages tasks of module: comp5 defined.
Instructs behavior of module: comp5 defined.
sfl area 99% remained.
atom area 73% remained.
!! local stack 0% used, global stack 0% used, trail stack 0% used !!
a=0b00000 b=0b00000 | eq=0b1
a=0b00000 b=0b00001 | eq=0b0
a=0b00000 b=0b00010 | eq=0b0
a=0b00000 b=0b00011 | eq=0b0
a=0b00000 b=0b00100 | eq=0b0
a=0b00000 b=0b00101 | eq=0b0
a=0b00000 b=0b00110 | eq=0b0
a=0b00000 b=0b00111 | eq=0b0
a=0b00000 b=0b01000 | eq=0b0
a=0b00000 b=0b01001 | eq=0b0
a=0b00000 b=0b01010 | eq=0b0
a=0b00000 b=0b01011 | eq=0b0
a=0b00000 b=0b01100 | eq=0b0
a=0b00000 b=0b01101 | eq=0b0
a=0b00000 b=0b01110 | eq=0b0
a=0b00000 b=0b01111 | eq=0b0
a=0b00000 b=0b10000 | eq=0b0
a=0b00000 b=0b10001 | eq=0b0
a=0b00000 b=0b10010 | eq=0b0
a=0b00000 b=0b10011 | eq=0b0
a=0b00000 b=0b10100 | eq=0b0
a=0b00000 b=0b10101 | eq=0b0
a=0b00000 b=0b10110 | eq=0b0
a=0b00000 b=0b10111 | eq=0b0
a=0b00000 b=0b11000 | eq=0b0
a=0b00000 b=0b11001 | eq=0b0
a=0b00000 b=0b11010 | eq=0b0
a=0b00000 b=0b11011 | eq=0b0
a=0b00000 b=0b11100 | eq=0b0
a=0b00000 b=0b11101 | eq=0b0
a=0b00000 b=0b11110 | eq=0b0
a=0b00000 b=0b11111 | eq=0b0
a=0b00001 b=0b00000 | eq=0b0
a=0b00001 b=0b00001 | eq=0b1
a=0b00001 b=0b00010 | eq=0b0
a=0b00001 b=0b00011 | eq=0b0
a=0b00001 b=0b00100 | eq=0b0
a=0b00001 b=0b00101 | eq=0b0
a=0b00001 b=0b00110 | eq=0b0
a=0b00001 b=0b00111 | eq=0b0
a=0b00001 b=0b01000 | eq=0b0
a=0b00001 b=0b01001 | eq=0b0
a=0b00001 b=0b01010 | eq=0b0
a=0b00001 b=0b01011 | eq=0b0
a=0b00001 b=0b01100 | eq=0b0
a=0b00001 b=0b01101 | eq=0b0
a=0b00001 b=0b01110 | eq=0b0
a=0b00001 b=0b01111 | eq=0b0
a=0b00001 b=0b10000 | eq=0b0
a=0b00001 b=0b10001 | eq=0b0
a=0b00001 b=0b10010 | eq=0b0
a=0b00001 b=0b10011 | eq=0b0
a=0b00001 b=0b10100 | eq=0b0
a=0b00001 b=0b10101 | eq=0b0
a=0b00001 b=0b10110 | eq=0b0
a=0b00001 b=0b10111 | eq=0b0
a=0b00001 b=0b11000 | eq=0b0
a=0b00001 b=0b11001 | eq=0b0
a=0b00001 b=0b11010 | eq=0b0
a=0b00001 b=0b11011 | eq=0b0
a=0b00001 b=0b11100 | eq=0b0
a=0b00001 b=0b11101 | eq=0b0
a=0b00001 b=0b11110 | eq=0b0
a=0b00001 b=0b11111 | eq=0b0
a=0b00010 b=0b00000 | eq=0b0
a=0b00010 b=0b00001 | eq=0b0
a=0b00010 b=0b00010 | eq=0b1
a=0b00010 b=0b00011 | eq=0b0
a=0b00010 b=0b00100 | eq=0b0
a=0b00010 b=0b00101 | eq=0b0
a=0b00010 b=0b00110 | eq=0b0
a=0b00010 b=0b00111 | eq=0b0
a=0b00010 b=0b01000 | eq=0b0
a=0b00010 b=0b01001 | eq=0b0
a=0b00010 b=0b01010 | eq=0b0
a=0b00010 b=0b01011 | eq=0b0
a=0b00010 b=0b01100 | eq=0b0
a=0b00010 b=0b01101 | eq=0b0
a=0b00010 b=0b01110 | eq=0b0
a=0b00010 b=0b01111 | eq=0b0
a=0b00010 b=0b10000 | eq=0b0
a=0b00010 b=0b10001 | eq=0b0
a=0b00010 b=0b10010 | eq=0b0
a=0b00010 b=0b10011 | eq=0b0
a=0b00010 b=0b10100 | eq=0b0
a=0b00010 b=0b10101 | eq=0b0
a=0b00010 b=0b10110 | eq=0b0
a=0b00010 b=0b10111 | eq=0b0
a=0b00010 b=0b11000 | eq=0b0
a=0b00010 b=0b11001 | eq=0b0
a=0b00010 b=0b11010 | eq=0b0
a=0b00010 b=0b11011 | eq=0b0
a=0b00010 b=0b11100 | eq=0b0
a=0b00010 b=0b11101 | eq=0b0
a=0b00010 b=0b11110 | eq=0b0
a=0b00010 b=0b11111 | eq=0b0
a=0b00011 b=0b00000 | eq=0b0
a=0b00011 b=0b00001 | eq=0b0
a=0b00011 b=0b00010 | eq=0b0
a=0b00011 b=0b00011 | eq=0b1
a=0b00011 b=0b00100 | eq=0b0
a=0b00011 b=0b00101 | eq=0b0
a=0b00011 b=0b00110 | eq=0b0
a=0b00011 b=0b00111 | eq=0b0
a=0b00011 b=0b01000 | eq=0b0
a=0b00011 b=0b01001 | eq=0b0
a=0b00011 b=0b01010 | eq=0b0
a=0b00011 b=0b01011 | eq=0b0
a=0b00011 b=0b01100 | eq=0b0
a=0b00011 b=0b01101 | eq=0b0
a=0b00011 b=0b01110 | eq=0b0
a=0b00011 b=0b01111 | eq=0b0
a=0b00011 b=0b10000 | eq=0b0
a=0b00011 b=0b10001 | eq=0b0
a=0b00011 b=0b10010 | eq=0b0
a=0b00011 b=0b10011 | eq=0b0
a=0b00011 b=0b10100 | eq=0b0
a=0b00011 b=0b10101 | eq=0b0
a=0b00011 b=0b10110 | eq=0b0
a=0b00011 b=0b10111 | eq=0b0
a=0b00011 b=0b11000 | eq=0b0
a=0b00011 b=0b11001 | eq=0b0
a=0b00011 b=0b11010 | eq=0b0
a=0b00011 b=0b11011 | eq=0b0
a=0b00011 b=0b11100 | eq=0b0
a=0b00011 b=0b11101 | eq=0b0
a=0b00011 b=0b11110 | eq=0b0
a=0b00011 b=0b11111 | eq=0b0
a=0b00100 b=0b00000 | eq=0b0
a=0b00100 b=0b00001 | eq=0b0
a=0b00100 b=0b00010 | eq=0b0
a=0b00100 b=0b00011 | eq=0b0
a=0b00100 b=0b00100 | eq=0b1
a=0b00100 b=0b00101 | eq=0b0
a=0b00100 b=0b00110 | eq=0b0
a=0b00100 b=0b00111 | eq=0b0
a=0b00100 b=0b01000 | eq=0b0
a=0b00100 b=0b01001 | eq=0b0
a=0b00100 b=0b01010 | eq=0b0
a=0b00100 b=0b01011 | eq=0b0
a=0b00100 b=0b01100 | eq=0b0
a=0b00100 b=0b01101 | eq=0b0
a=0b00100 b=0b01110 | eq=0b0
a=0b00100 b=0b01111 | eq=0b0
a=0b00100 b=0b10000 | eq=0b0
a=0b00100 b=0b10001 | eq=0b0
a=0b00100 b=0b10010 | eq=0b0
a=0b00100 b=0b10011 | eq=0b0
a=0b00100 b=0b10100 | eq=0b0
a=0b00100 b=0b10101 | eq=0b0
a=0b00100 b=0b10110 | eq=0b0
a=0b00100 b=0b10111 | eq=0b0
a=0b00100 b=0b11000 | eq=0b0
a=0b00100 b=0b11001 | eq=0b0
a=0b00100 b=0b11010 | eq=0b0
a=0b00100 b=0b11011 | eq=0b0
a=0b00100 b=0b11100 | eq=0b0
a=0b00100 b=0b11101 | eq=0b0
a=0b00100 b=0b11110 | eq=0b0
a=0b00100 b=0b11111 | eq=0b0
a=0b00101 b=0b00000 | eq=0b0
a=0b00101 b=0b00001 | eq=0b0
a=0b00101 b=0b00010 | eq=0b0
a=0b00101 b=0b00011 | eq=0b0
a=0b00101 b=0b00100 | eq=0b0
a=0b00101 b=0b00101 | eq=0b1
a=0b00101 b=0b00110 | eq=0b0
a=0b00101 b=0b00111 | eq=0b0
a=0b00101 b=0b01000 | eq=0b0
a=0b00101 b=0b01001 | eq=0b0
a=0b00101 b=0b01010 | eq=0b0
a=0b00101 b=0b01011 | eq=0b0
a=0b00101 b=0b01100 | eq=0b0
a=0b00101 b=0b01101 | eq=0b0
a=0b00101 b=0b01110 | eq=0b0
a=0b00101 b=0b01111 | eq=0b0
a=0b00101 b=0b10000 | eq=0b0
a=0b00101 b=0b10001 | eq=0b0
a=0b00101 b=0b10010 | eq=0b0
a=0b00101 b=0b10011 | eq=0b0
a=0b00101 b=0b10100 | eq=0b0
a=0b00101 b=0b10101 | eq=0b0
a=0b00101 b=0b10110 | eq=0b0
a=0b00101 b=0b10111 | eq=0b0
a=0b00101 b=0b11000 | eq=0b0
a=0b00101 b=0b11001 | eq=0b0
a=0b00101 b=0b11010 | eq=0b0
a=0b00101 b=0b11011 | eq=0b0
a=0b00101 b=0b11100 | eq=0b0
a=0b00101 b=0b11101 | eq=0b0
a=0b00101 b=0b11110 | eq=0b0
a=0b00101 b=0b11111 | eq=0b0
a=0b00110 b=0b00000 | eq=0b0
a=0b00110 b=0b00001 | eq=0b0
a=0b00110 b=0b00010 | eq=0b0
a=0b00110 b=0b00011 | eq=0b0
a=0b00110 b=0b00100 | eq=0b0
a=0b00110 b=0b00101 | eq=0b0
a=0b00110 b=0b00110 | eq=0b1
a=0b00110 b=0b00111 | eq=0b0
a=0b00110 b=0b01000 | eq=0b0
a=0b00110 b=0b01001 | eq=0b0
a=0b00110 b=0b01010 | eq=0b0
a=0b00110 b=0b01011 | eq=0b0
a=0b00110 b=0b01100 | eq=0b0
a=0b00110 b=0b01101 | eq=0b0
a=0b00110 b=0b01110 | eq=0b0
a=0b00110 b=0b01111 | eq=0b0
a=0b00110 b=0b10000 | eq=0b0
a=0b00110 b=0b10001 | eq=0b0
a=0b00110 b=0b10010 | eq=0b0
a=0b00110 b=0b10011 | eq=0b0
a=0b00110 b=0b10100 | eq=0b0
a=0b00110 b=0b10101 | eq=0b0
a=0b00110 b=0b10110 | eq=0b0
a=0b00110 b=0b10111 | eq=0b0
a=0b00110 b=0b11000 | eq=0b0
a=0b00110 b=0b11001 | eq=0b0
a=0b00110 b=0b11010 | eq=0b0
a=0b00110 b=0b11011 | eq=0b0
a=0b00110 b=0b11100 | eq=0b0
a=0b00110 b=0b11101 | eq=0b0
a=0b00110 b=0b11110 | eq=0b0
a=0b00110 b=0b11111 | eq=0b0
a=0b00111 b=0b00000 | eq=0b0
a=0b00111 b=0b00001 | eq=0b0
a=0b00111 b=0b00010 | eq=0b0
a=0b00111 b=0b00011 | eq=0b0
a=0b00111 b=0b00100 | eq=0b0
a=0b00111 b=0b00101 | eq=0b0
a=0b00111 b=0b00110 | eq=0b0
a=0b00111 b=0b00111 | eq=0b1
a=0b00111 b=0b01000 | eq=0b0
a=0b00111 b=0b01001 | eq=0b0
a=0b00111 b=0b01010 | eq=0b0
a=0b00111 b=0b01011 | eq=0b0
a=0b00111 b=0b01100 | eq=0b0
a=0b00111 b=0b01101 | eq=0b0
a=0b00111 b=0b01110 | eq=0b0
a=0b00111 b=0b01111 | eq=0b0
a=0b00111 b=0b10000 | eq=0b0
a=0b00111 b=0b10001 | eq=0b0
a=0b00111 b=0b10010 | eq=0b0
a=0b00111 b=0b10011 | eq=0b0
a=0b00111 b=0b10100 | eq=0b0
a=0b00111 b=0b10101 | eq=0b0
a=0b00111 b=0b10110 | eq=0b0
a=0b00111 b=0b10111 | eq=0b0
a=0b00111 b=0b11000 | eq=0b0
a=0b00111 b=0b11001 | eq=0b0
a=0b00111 b=0b11010 | eq=0b0
a=0b00111 b=0b11011 | eq=0b0
a=0b00111 b=0b11100 | eq=0b0
a=0b00111 b=0b11101 | eq=0b0
a=0b00111 b=0b11110 | eq=0b0
a=0b00111 b=0b11111 | eq=0b0
